Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
MC5*: A True Testimonial,2002,Documentary,120 min,1 win.,75,8.2
Secret Window,2004,"Mystery, Thriller",96 min,3 nominations.,46,6.6
Agent Cody Banks 2: Destination London,2004,"Action, Adventure, Comedy",100 min,N/A,32,4.5
,,,,,,
Spartan,2004,"Action, Crime, Drama",106 min,N/A,60,6.6
Le dernier tunnel,2004,"Crime, Drama",109 min,3 wins & 13 nominations.,N/A,6.4
Broken Wings,2002,Drama,87 min,15 wins & 4 nominations.,75,7.6
Wilbur Wants to Kill Himself,2002,"Comedy, Drama, Romance",109 min,10 wins & 21 nominations.,69,6.9
Games People Play: New York,2004,Comedy,97 min,N/A,32,5.4
Distant,2002,Drama,110 min,31 wins & 3 nominations.,84,7.7
Maestro,2005,"Animation, Short",5 min,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,N/A,7.6
How to Draw a Bunny,2002,Documentary,90 min,1 win & 2 nominations.,78,7.5
Divan,2003,Documentary,90 min,2 wins.,71,6.9
Dawn of the Dead,2004,Horror,101 min,1 win & 16 nominations.,59,7.4
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,Won 1 Oscar. Another 66 wins & 103 nominations.,89,8.4
Taking Lives,2004,"Crime, Mystery, Thriller",103 min,4 nominations.,38,6.2
Bon voyage,2003,"Comedy, Drama, Mystery",114 min,5 wins & 8 nominations.,68,6.9
Intermission,2003,"Comedy, Crime, Drama",105 min,6 wins & 11 nominations.,64,6.9
Noi,2004,Drama,N/A,N/A,N/A,5.6
Scooby-Doo 2: Monsters Unleashed,2004,"Adventure, Comedy, Family",93 min,1 win & 2 nominations.,34,4.9
The Ladykillers,2004,"Comedy, Crime, Thriller",104 min,4 wins & 4 nominations.,56,6.2
Jersey Girl,2004,"Comedy, Drama, Romance",102 min,1 win & 6 nominations.,43,6.2
Never Die Alone,2004,"Action, Crime, Drama",88 min,1 nomination.,38,5.7
