Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
Grand Champion,2002,"Comedy, Family",93 min,N/A,N/A,4.4
Chooch,2003,"Comedy, Romance",81 min,N/A,17,3.9
,,,,,,
Brothers in Arms,2005,Western,85 min,N/A,N/A,2.3
Vanity Fair,2004,Drama,141 min,2 wins & 5 nominations.,53,6.2
Paparazzi,2004,"Action, Crime, Thriller",84 min,N/A,38,5.8
Wicker Park,2004,"Drama, Mystery, Romance",114 min,1 nomination.,40,7
The Cookout,2004,Comedy,97 min,2 nominations.,15,3.6
Tae Guk Gi: The Brotherhood of War,2004,"Action, Drama, War",140 min,10 wins & 7 nominations.,64,8.1
"Remember Me, My Love",2003,"Comedy, Romance, Drama",125 min,5 wins & 19 nominations.,53,6.5
Warriors of Heaven and Earth,2003,"Action, Adventure, Drama",120 min,8 wins & 12 nominations.,54,6.4
,,,,,,
Virgin,2003,Drama,114 min,4 wins & 4 nominations.,48,5.5
Persons of Interest,2009,"Short, Drama",43 min,N/A,N/A,8.1
Rockets Redglare!,2003,Documentary,89 min,1 win.,27,7.4
Big Girls Don't Cry,2002,Drama,87 min,2 nominations.,N/A,7.1
A Letter to True,2004,Documentary,78 min,N/A,51,6.6
Resident Evil: Apocalypse,2004,"Action, Horror, Sci-Fi",94 min,2 wins & 3 nominations.,35,6.2
Cellular,2004,"Action, Crime, Thriller",94 min,2 nominations.,60,6.5
Criminal,2004,"Comedy, Crime, Drama",87 min,N/A,61,6.4
Testosterone,2003,"Comedy, Drama",105 min,N/A,34,5.6
When Will I Be Loved,2004,"Drama, Thriller",81 min,N/A,39,4.5
Malevolence,2003,"Crime, Horror, Mystery",90 min,2 wins.,43,5.1
Reconstruction,2003,"Drama, Romance",90 min,12 wins & 10 nominations.,60,7.4
Sky Captain and the World of Tomorrow,2004,"Action, Adventure, Mystery",106 min,7 wins & 17 nominations.,64,6.1
Mr 3000,2004,"Comedy, Drama, Romance",104 min,1 win & 5 nominations.,57,5.5
Wimbledon,2004,"Comedy, Romance, Sport",98 min,1 nomination.,59,6.3
A Dirty Shame,2004,Comedy,89 min,1 win.,56,5.1
Ghost in the Shell 2: Innocence,2004,"Animation, Drama, Sci-Fi",100 min,6 wins & 8 nominations.,66,7.6
Silver City,2004,"Comedy, Drama, Mystery",128 min,1 win & 1 nomination.,47,6.1
National Lampoon's Gold Diggers,2003,"Comedy, Crime",90 min,N/A,6,2.9
Head in the Clouds,2004,"Drama, Romance, War",132 min,6 wins & 5 nominations.,40,6.6
Zelary,2003,"Romance, Drama",150 min,Nominated for 1 Oscar. Another 4 wins & 10 nominations.,66,7.7
Incident at Loch Ness,2004,"Adventure, Comedy, Horror",94 min,1 win.,62,6.6
,,,,,,
Cowboys and Angels,2000,"Comedy, Romance",97 min,N/A,N/A,6.4
,,,,,,
Crutch,2004,"Biography, Drama",89 min,N/A,N/A,5.5
Pauly Shore Is Dead,2003,Comedy,82 min,1 win.,N/A,4.6
Particles of Truth,2003,Drama,101 min,N/A,48,6.9
The Take,2009,"Crime, Drama, Thriller",N/A,1 win & 3 nominations.,N/A,8
The Forgotten,2004,"Drama, Horror, Mystery",91 min,7 nominations.,43,5.8
The Motorcycle Diaries,2004,"Adventure, Biography, Drama",126 min,Won 1 Oscar. Another 35 wins & 43 nominations.,75,7.8
Shaun of the Dead,2004,"Comedy, Horror",99 min,13 wins & 20 nominations.,76,8
First Daughter,2004,"Comedy, Drama, Romance",106 min,N/A,31,4.9
The Last Shot,2004,Comedy,93 min,N/A,47,5.7
The Yes Men,2003,"Documentary, Comedy",83 min,1 win & 2 nominations.,68,6.9
Guiana 1838,2004,Drama,120 min,1 win.,N/A,7.3
Infernal Affairs,2002,"Crime, Mystery, Thriller",101 min,23 wins & 21 nominations.,75,8.1
Hollywood Buddha,2003,"Drama, Comedy",99 min,N/A,42,5
Anatomy of Hell,2004,Drama,77 min,1 win.,29,4.5
The Raspberry Reich,2004,Comedy,90 min,2 wins.,45,5.6
Incantato,2003,"Drama, Romance, Comedy",107 min,3 wins & 10 nominations.,48,6.7
Rick,2003,"Comedy, Drama",100 min,1 win.,52,6.2
Mind the Gap,2007,"Comedy, Drama",103 min,N/A,N/A,5
The Hillside Strangler,2004,"Crime, Thriller",97 min,1 nomination.,19,5.3
Moog,2004,"Documentary, History, Music",72 min,1 win.,51,6.2
Shark Tale,2004,"Animation, Adventure, Comedy",90 min,Nominated for 1 Oscar. Another 3 wins & 15 nominations.,48,6
Ladder 49,2004,"Action, Drama, Thriller",115 min,1 win & 6 nominations.,47,6.5
I Heart Huckabees,2004,Comedy,107 min,3 wins & 10 nominations.,55,6.8
Woman Thou Art Loosed,2004,Drama,94 min,6 wins & 7 nominations.,55,6.9
Thérèse: The Story of Saint Thérèse of Lisieux,2004,"Biography, Drama",96 min,N/A,27,6.4
,,,,,,
Les aimants,2004,"Comedy, Romance",91 min,3 wins & 6 nominations.,N/A,6.9
Going Upriver: The Long War of John Kerry,2004,"Documentary, Biography, History",87 min,N/A,70,7.7
Dig!,2004,"Documentary, Music",107 min,2 wins & 1 nomination.,76,7.8
In the Face of Evil: Reagan's War in Word and Deed,2004,Documentary,110 min,N/A,39,6.2
Tying the Knot,2004,"Documentary, History, Romance",81 min,1 win.,65,7.6
,,,,,,
Taxi,1998,"Action, Comedy, Crime",86 min,3 wins & 5 nominations.,N/A,6.9
Tarnation,2003,"Documentary, Biography",88 min,9 wins & 10 nominations.,87,7.2
Friday Night Lights,2004,"Action, Drama, Sport",118 min,2 wins & 5 nominations.,70,7.3
Raise Your Voice,2004,"Family, Music, Romance",103 min,2 wins & 3 nominations.,33,5.9
Vera Drake,2004,"Crime, Drama",125 min,Nominated for 3 Oscars. Another 40 wins & 37 nominations.,83,7.7
Stage Beauty,2004,Drama,106 min,3 wins & 1 nomination.,64,7.2
Primer,2004,"Drama, Sci-Fi, Thriller",77 min,3 wins & 7 nominations.,68,7
Around the Bend,2004,"Comedy, Drama",85 min,4 wins & 3 nominations.,46,6.5
Baptists at Our Barbecue,2004,"Comedy, Romance",92 min,N/A,N/A,5.9
Vodka Lemon,2003,"Comedy, Drama",90 min,8 wins & 3 nominations.,69,6.7
Silent Waters,2003,Drama,99 min,7 wins & 2 nominations.,64,7.6
The Child I Never Was,2002,"Crime, Drama",86 min,3 wins & 1 nomination.,59,7.1
Untold Scandal,2003,Drama,124 min,6 wins & 3 nominations.,73,7.1
Shall We Dance,2004,"Comedy, Drama, Romance",106 min,7 nominations.,47,6.1
Team America: World Police,2004,"Action, Comedy",98 min,1 win & 11 nominations.,64,7.2
Being Julia,2004,"Comedy, Drama, Romance",104 min,Nominated for 1 Oscar. Another 8 wins & 18 nominations.,65,7.1
The Final Cut,2004,"Action, Sci-Fi, Thriller",95 min,1 win & 4 nominations.,43,6.2
Hair Show,2004,"Comedy, Romance",105 min,4 nominations.,34,5
Moolaadé,2004,Drama,124 min,6 wins & 10 nominations.,91,7.7
P.S.,2004,"Comedy, Drama, Fantasy",97 min,3 wins & 3 nominations.,55,6.3
,,,,,,
Face,1997,"Crime, Drama, Thriller",105 min,4 wins.,N/A,6.8
Eulogy,2004,"Comedy, Drama",91 min,N/A,34,6.7
,,,,,,
The Dust Factory,2004,"Drama, Family, Fantasy",99 min,N/A,48,6.2
Sex Is Comedy,2002,"Comedy, Drama, Romance",92 min,N/A,63,5.7
The Grudge,2004,"Fantasy, Horror, Mystery",91 min,2 wins & 10 nominations.,49,5.9
Sideways,2004,"Adventure, Comedy, Drama",126 min,Won 1 Oscar. Another 120 wins & 81 nominations.,94,7.6
Surviving Christmas,2004,"Comedy, Romance",91 min,1 win & 4 nominations.,19,5.3
Santa vs. the Snowman 3D,2002,"Animation, Short, Comedy",32 min,1 win.,N/A,6.7
The Machinist,2004,"Drama, Thriller",101 min,7 wins & 14 nominations.,61,7.7
Short Cut to Nirvana: Kumbh Mela,2004,Documentary,85 min,2 wins.,55,7.2
Lightning in a Bottle,2004,"Documentary, Music",103 min,1 win & 2 nominations.,78,7.6
Undertow,2004,"Drama, Thriller",108 min,3 wins & 6 nominations.,63,6.7
,,,,,,
Hearts and Minds,1974,"Documentary, War",112 min,Won 1 Oscar. Another 3 wins & 1 nomination.,68,8.4
,,,,,,
The Manson Family,1997,"Crime, Drama, History",95 min,1 nomination.,56,5.5
Evil Remains,2004,"Horror, Thriller",88 min,N/A,N/A,4.1
Stella Street,2004,Comedy,80 min,2 wins.,41,5.8
Ray,2004,"Biography, Drama, Music",152 min,Won 2 Oscars. Another 52 wins & 51 nominations.,73,7.7
Saw,2004,"Horror, Mystery",103 min,8 wins & 10 nominations.,46,7.7
Birth,2004,"Drama, Mystery, Romance",100 min,Nominated for 1 Golden Globe. Another 2 wins & 16 nominations.,50,6.1
Enduring Love,2004,"Drama, Mystery, Romance",100 min,4 wins & 12 nominations.,61,6.4
Voices of Iraq,2004,"Documentary, War",80 min,N/A,66,6.4
A Silent Love,2004,"Comedy, Drama, Romance",100 min,3 wins & 6 nominations.,62,7
It's All About Love,2003,"Drama, Thriller, Romance",104 min,3 wins.,32,5.5
800 Bullets,2002,"Action, Comedy, Drama",124 min,3 wins & 5 nominations.,51,6.4
The Incredibles,2004,"Animation, Action, Adventure",115 min,Won 2 Oscars. Another 59 wins & 53 nominations.,90,8
Alfie,2004,"Comedy, Drama, Romance",103 min,Won 1 Golden Globe. Another 5 wins & 7 nominations.,49,6.2
Fade to Black,1980,"Comedy, Horror, Thriller",102 min,2 wins & 7 nominations.,N/A,5.9
Callas Forever,2002,"Biography, Drama, Music",111 min,2 nominations.,49,6.6
Bear Cub,2004,"Comedy, Drama",99 min,4 wins & 2 nominations.,63,7.4
Brother to Brother,2004,Drama,94 min,8 wins & 8 nominations.,57,7
,,,,,,
Intoxicating,2003,"Drama, Thriller",109 min,N/A,38,5.1
"Still, the Children Are Here",2004,Documentary,85 min,N/A,N/A,6
The Polar Express,2004,"Animation, Adventure, Family",100 min,Nominated for 3 Oscars. Another 5 wins & 21 nominations.,61,6.6
Veer-Zaara,2004,"Drama, Musical, Romance",192 min,21 wins & 29 nominations.,67,7.9
Finding Neverland,2004,"Biography, Drama, Family",106 min,Won 1 Oscar. Another 20 wins & 77 nominations.,67,7.8
Bridget Jones: The Edge of Reason,2004,"Comedy, Drama, Romance",108 min,Nominated for 1 Golden Globe. Another 7 nominations.,44,5.9
After the Sunset,2004,"Action, Comedy, Crime",97 min,1 nomination.,38,6.3
Seed of Chucky,2004,"Comedy, Fantasy, Horror",87 min,1 win & 6 nominations.,46,4.9
Kinsey,2004,"Biography, Drama",118 min,Nominated for 1 Oscar. Another 17 wins & 48 nominations.,79,7.1
Aitraaz,2004,"Drama, Thriller",160 min,5 wins & 12 nominations.,N/A,6.8
,,,,,,
Who Killed Bambi?,2003,"Thriller, Drama",126 min,3 nominations.,47,6.1
Master of the Game,1984,Drama,413 min,N/A,N/A,7.4
Bright Future,2003,Drama,92 min,5 wins & 1 nomination.,64,6.9
National Treasure,2004,"Action, Adventure, Comedy",131 min,1 win & 9 nominations.,39,6.9
The SpongeBob SquarePants Movie,2004,"Animation, Adventure, Comedy",87 min,1 win & 10 nominations.,66,7
Bad Education,2004,"Crime, Drama, Mystery",106 min,Nominated for 1 BAFTA Film Award. Another 15 wins & 38 nominations.,81,7.5
La fin de la Nouvelle-France,2009,Documentary,86 min,N/A,N/A,6.9
Days of Being Wild,1990,"Crime, Drama, Romance",94 min,17 wins & 9 nominations.,96,7.6
Fear and Trembling,2003,"Comedy, Drama",107 min,5 wins & 2 nominations.,75,7.1
You I Love,2004,Comedy,83 min,1 win.,54,6.5
Christmas with the Kranks,2004,"Comedy, Family",99 min,2 wins & 1 nomination.,22,5.2
Alexander,2004,"Action, Adventure, Biography",175 min,3 wins & 11 nominations.,39,5.5
The Work and the Glory,2004,"Romance, Drama",118 min,N/A,N/A,6.9
Paper Clips,2004,"Documentary, War",82 min,10 wins & 1 nomination.,64,7.4
Notre musique,2004,Drama,80 min,1 win & 5 nominations.,77,7
A Very Long Engagement,2004,"Drama, Mystery, Romance",133 min,Nominated for 2 Oscars. Another 17 wins & 33 nominations.,76,7.7
Guerrilla: The Taking of Patty Hearst,2004,"Documentary, History, Mystery",89 min,1 nomination.,N/A,7.4
Straight-Jacket,2004,Comedy,96 min,1 win.,50,6.7
,,,,,,
Easy,2003,"Comedy, Romance, Drama",99 min,1 nomination.,47,5.9
Purple Butterfly,2003,"Drama, History, War",127 min,1 win & 5 nominations.,68,6
Closer,2004,"Drama, Romance",104 min,Nominated for 2 Oscars. Another 19 wins & 45 nominations.,65,7.3
House of Flying Daggers,2004,"Action, Adventure, Drama",119 min,Nominated for 1 Oscar. Another 19 wins & 60 nominations.,89,7.6
I Am David,2003,Drama,90 min,8 wins & 1 nomination.,47,7.3
A Tale of Two Sisters,2003,"Drama, Horror, Mystery",115 min,15 wins & 2 nominations.,65,7.3
After Midnight,2004,"Comedy, Romance",92 min,9 wins & 15 nominations.,56,6.9
WMD: Weapons of Mass Deception,2004,Documentary,98 min,1 win.,60,7.7
Conspiracy of Silence,2003,"Crime, Drama, Thriller",90 min,2 wins & 3 nominations.,46,6.6
"Jesus, You Know",2003,Documentary,87 min,3 wins & 1 nomination.,67,6.8
Blade: Trinity,2004,"Action, Adventure, Fantasy",113 min,1 nomination.,38,5.9
Born Into Brothels: Calcutta's Red Light Kids,2004,Documentary,85 min,Won 1 Oscar. Another 20 wins & 5 nominations.,78,7.5
Ocean's Twelve,2004,"Crime, Thriller",125 min,2 wins & 8 nominations.,58,6.4
The Life Aquatic with Steve Zissou,2004,"Adventure, Comedy, Drama",119 min,3 wins & 10 nominations.,62,7.3
Fabled,2002,"Drama, Mystery, Thriller",84 min,N/A,N/A,5.8
A Talking Picture,2003,"Comedy, Drama, History",96 min,1 win & 2 nominations.,75,6.7
Dolls,2002,"Drama, Romance",114 min,3 wins & 6 nominations.,71,7.7
Bandido,1956,"Action, Adventure, War",92 min,N/A,N/A,6.2
The Green Butchers,2003,"Comedy, Drama",100 min,7 wins & 8 nominations.,54,7.3
Shwaas,2004,Drama,107 min,3 wins & 1 nomination.,36,8.1
Freeze Frame,2004,"Thriller, Crime, Drama",99 min,4 wins & 3 nominations.,55,6.5
Million Dollar Baby,2004,"Drama, Sport",132 min,Won 4 Oscars. Another 60 wins & 80 nominations.,86,8.1
,,,,,,
The Aviator,2004,"Biography, Drama",170 min,Won 5 Oscars. Another 73 wins & 111 nominations.,77,7.5
Spanglish,2004,"Comedy, Drama, Romance",131 min,Nominated for 1 Golden Globe. Another 5 wins & 9 nominations.,48,6.5
Flight of the Phoenix,2004,"Action, Adventure, Drama",113 min,2 nominations.,47,6.1
Beyond the Sea,2004,"Biography, Drama, Music",118 min,Nominated for 1 Golden Globe. Another 4 nominations.,46,6.7
The Sea Inside,2004,"Biography, Drama, Romance",125 min,Won 1 Oscar. Another 65 wins & 34 nominations.,74,8.1
Swades,2004,Drama,189 min,12 wins & 23 nominations.,N/A,8.3
Ma vie en cinémascope,2004,"Biography, Drama, Musical",105 min,7 wins & 10 nominations.,N/A,6.7
Imaginary Heroes,2004,"Comedy, Drama",111 min,1 win & 2 nominations.,53,7.3
Whore,1991,Drama,85 min,N/A,N/A,5.5
Open My Heart,2002,Drama,93 min,2 wins & 1 nomination.,27,5
Meet the Fockers,2004,"Comedy, Romance",115 min,2 wins & 6 nominations.,41,6.3
The Phantom of the Opera,2004,"Drama, Musical, Romance",143 min,Nominated for 3 Oscars. Another 6 wins & 35 nominations.,40,7.4
Hotel Rwanda,2004,"Drama, History, War",121 min,Nominated for 3 Oscars. Another 16 wins & 42 nominations.,79,8.1
In the Realms of the Unreal,2004,"Documentary, Biography",81 min,Nominated for 1 Primetime Emmy. Another 2 wins & 5 nominations.,74,7.4
Producing Adults,2004,"Comedy, Drama",102 min,3 wins & 9 nominations.,N/A,6.3
The Woodsman,2004,Drama,87 min,7 wins & 18 nominations.,72,7.2
Fat Albert,2004,"Comedy, Family, Fantasy",93 min,1 nomination.,39,4.3
Darkness,2002,Horror,88 min,2 wins & 3 nominations.,15,5.4
In Good Company,2004,"Comedy, Drama, Romance",109 min,2 wins & 7 nominations.,66,6.5
,,,,,,
The Assassination of Richard Nixon,2004,"Biography, Drama",95 min,2 wins & 4 nominations.,63,7
A Love Song for Bobby Long,2004,Drama,119 min,Nominated for 1 Golden Globe. Another 2 nominations.,48,7.2
Sky Blue,2003,"Action, Fantasy, Animation",86 min,1 win & 1 nomination.,53,6.8
Paranormal Activity: The Marked Ones,2014,"Fantasy, Horror, Thriller",84 min,2 nominations.,42,5
The Best Offer,2013,"Crime, Drama, Mystery",131 min,19 wins & 21 nominations.,49,7.8
Interior. Leather Bar.,2013,Drama,60 min,2 nominations.,47,5.2
In No Great Hurry: 13 Lessons in Life with Saul Leiter,2014,Documentary,75 min,N/A,N/A,7.5
Beyond Outrage,2012,"Action, Crime, Drama",112 min,3 wins & 6 nominations.,53,6.7
The Great Flood,2012,"Documentary, History, Music",80 min,N/A,75,7.1
The Legend of Hercules,2014,"Action, Adventure, Fantasy",99 min,1 win & 7 nominations.,22,4.2
,,,,,,
Evangelion: 3.0 You Can (Not) Redo,2012,"Animation, Action, Drama",96 min,2 nominations.,N/A,7.1
,,,,,,
The Rocket,2013,Drama,96 min,28 wins & 30 nominations.,72,7.4
In Bloom,2013,Drama,102 min,29 wins & 7 nominations.,72,7.8
If You Build It,2013,Documentary,85 min,1 win.,59,7.2
Cold Comes the Night,2013,"Crime, Drama, Thriller",90 min,1 nomination.,37,5.7
Raze,2013,"Action, Horror",92 min,2 wins & 2 nominations.,41,5.2
The Adventurer: The Curse of the Midas Box,2013,"Adventure, Family, Fantasy",100 min,N/A,39,5.4
Return to Nuke 'Em High Volume 1,2013,"Comedy, Horror, Sci-Fi",85 min,N/A,40,5.5
The Truth About Emanuel,2013,"Drama, Thriller",91 min,5 wins & 1 nomination.,41,6
The Wait,2013,"Drama, Thriller",96 min,3 nominations.,34,4.7
Generation War,2013,"Drama, History, War",270 min,19 wins & 9 nominations.,57,8.5
Ride Along,2014,"Action, Comedy, Crime",99 min,1 win & 7 nominations.,41,6.2
The Nut Job,2014,"Animation, Adventure, Comedy",85 min,1 win & 4 nominations.,37,5.8
Jack Ryan: Shadow Recruit,2014,"Action, Drama, Thriller",105 min,2 nominations.,57,6.2
Devil's Due,2014,"Horror, Mystery",89 min,2 nominations.,34,4
,,,,,,
American Mustang,2013,"Documentary, Family, Western",72 min,N/A,N/A,7.8
Big Bad Wolves,2013,"Crime, Thriller",110 min,16 wins & 13 nominations.,64,6.8
Will You Still Love Me Tomorrow?,2013,"Comedy, Drama",104 min,1 win & 7 nominations.,56,6.8
Life of a King,2013,Drama,100 min,1 nomination.,52,6.9
Indigo Children,2012,Drama,75 min,1 win.,N/A,8
Summer in February,2013,"Biography, Drama, Romance",100 min,1 win & 2 nominations.,22,5.6
Anohana the Movie: The Flower We Saw That Day,2013,"Animation, Drama, Fantasy",99 min,N/A,N/A,7.4
Knights of Badassdom,2013,"Adventure, Comedy, Fantasy",86 min,2 nominations.,N/A,5.7
"I, Frankenstein",2014,"Action, Fantasy, Sci-Fi",92 min,1 nomination.,30,5.2
,,,,,,
Gimme Shelter,1970,"Documentary, Music, Thriller",91 min,3 wins.,80,7.9
Jai Ho,2014,"Action, Drama",135 min,5 nominations.,N/A,5.5
Stranger by the Lake,2013,"Drama, Thriller",100 min,17 wins & 36 nominations.,82,6.9
The Visitors,2014,"Animation, Short, Comedy",1 min,1 win.,N/A,N/A
,,,,,,
Aatsinki: The Story of Arctic Cowboys,2013,"Documentary, Biography, Western",84 min,3 nominations.,75,6.8
Papirosen,2011,Documentary,74 min,2 wins & 2 nominations.,80,6.8
Mercedes Sosa: The Voice of Latin America,2013,Documentary,90 min,2 wins.,50,7.4
That Awkward Moment,2014,"Comedy, Romance",94 min,1 win & 2 nominations.,36,6.1
Labor Day,2013,Drama,111 min,Nominated for 1 Golden Globe. Another 5 nominations.,52,6.9
,,,,,,
Tim's Vermeer,2013,"Documentary, History",80 min,Nominated for 1 BAFTA Film Award. Another 1 win & 5 nominations.,76,7.9
12 O'Clock Boys,2013,"Documentary, Biography, Crime",76 min,4 wins & 6 nominations.,68,6.4
At Middleton,2013,"Comedy, Romance",99 min,3 wins & 1 nomination.,60,6.5
Peter Brook: The Tightrope,2012,"Documentary, Biography, Drama",86 min,N/A,57,7.4
Love Is in the Air,2013,"Comedy, Romance",96 min,1 nomination.,49,6.4
Afternoon of a Faun,1937,"Short, Animation",N/A,N/A,N/A,N/A
The Lego Movie,2014,"Animation, Action, Adventure",100 min,Nominated for 1 Oscar. Another 67 wins & 58 nominations.,83,7.8
The Monuments Men,2014,"Drama, War",118 min,3 wins & 2 nominations.,52,6.1
Vampire Academy,2014,"Action, Comedy, Fantasy",104 min,2 nominations.,30,5.6
Hasee Toh Phasee,2014,"Comedy, Romance",141 min,14 nominations.,N/A,6.9
The Attorney,2013,Drama,127 min,10 wins & 25 nominations.,55,7.7
Sinbad: The Fifth Voyage,2014,"Action, Adventure, Fantasy",89 min,N/A,N/A,6
Kids for Cash,2013,"Documentary, Crime, Drama",102 min,N/A,75,7.1
,,,,,,
The Last of the Unjust,2013,Documentary,220 min,3 nominations.,80,7.2
7 Boxes,2012,Thriller,105 min,6 wins & 7 nominations.,72,7.2
A Field in England,2013,"Drama, History, Horror",90 min,1 win & 8 nominations.,73,6.3
The Pretty One,2013,"Comedy, Drama",90 min,2 wins & 2 nominations.,53,6.3
,,,,,,
Cavemen,2013,Comedy,88 min,N/A,19,5.3
Demi-soeur,2013,Comedy,90 min,N/A,24,5.1
,,,,,,
,,,,,,
,,,,,,
Winter's Tale,2014,"Drama, Fantasy, Mystery",118 min,2 nominations.,31,6.2
Beijing Love Story,2014,"Drama, Romance",121 min,1 nomination.,44,5.9
Girl on a Bicycle,2013,"Comedy, Drama, Romance",101 min,N/A,32,6.3
,,,,,,
Jimmy P.,2013,Drama,117 min,6 nominations.,58,6.1
Adult World,2013,Comedy,97 min,1 nomination.,61,6.1
Child's Pose,2013,Drama,112 min,12 wins & 6 nominations.,77,7.5
3 Days to Kill,2014,"Action, Drama, Thriller",117 min,N/A,40,6.2
Pompeii,2014,"Action, Adventure, Drama",105 min,8 wins & 4 nominations.,39,5.6
The Wind Rises,2013,"Animation, Biography, Drama",126 min,Nominated for 1 Oscar. Another 26 wins & 45 nominations.,83,7.8
,,,,,,
In Secret,2013,"Crime, Drama, Thriller",107 min,1 nomination.,47,6.1
Omar,2013,"Drama, Thriller",96 min,Nominated for 1 Oscar. Another 10 wins & 10 nominations.,75,7.6
Elaine Stritch: Shoot Me,2013,Documentary,81 min,1 win & 5 nominations.,81,7.5
Southern Baptist Sissies,2013,Drama,138 min,1 win.,N/A,8
Barefoot,2014,"Comedy, Drama, Romance",90 min,1 nomination.,22,6.6
Almost Human,2013–2014,"Action, Crime, Drama",60 min,Nominated for 1 Primetime Emmy. Another 2 wins & 2 nominations.,N/A,8.1
Black Out,2012,"Action, Comedy, Crime",92 min,5 nominations.,37,6.4
Souldier,2013,Documentary,72 min,N/A,N/A,N/A
Non-Stop,2014,"Action, Mystery, Thriller",106 min,1 nomination.,56,7
Son of God,2014,"Biography, Drama, History",138 min,2 wins & 1 nomination.,37,5.6
The Lunchbox,2013,"Drama, Romance",104 min,Nominated for 1 BAFTA Film Award. Another 28 wins & 35 nominations.,76,7.8
Anchorman 2: The Legend Continues,2013,Comedy,119 min,1 win & 23 nominations.,61,6.3
Repentance,1984,"Comedy, Drama",153 min,Nominated for 1 Golden Globe. Another 11 wins & 1 nomination.,N/A,8.5
Stalingrad,2013,"Action, Drama, War",131 min,6 wins & 8 nominations.,49,5.6
Shaadi Ke Side Effects,2014,"Comedy, Romance",145 min,N/A,N/A,5.7
Ernest & Celestine,2012,"Animation, Comedy, Crime",80 min,Nominated for 1 Oscar. Another 14 wins & 11 nominations.,86,7.9
The Bag Man,2014,"Crime, Drama, Thriller",108 min,N/A,28,5.3
Two Lives,2012,"Drama, Thriller",97 min,7 wins & 7 nominations.,62,7.1
,,,,,,
Short Peace,2013,"Animation, Fantasy, Sci-Fi",68 min,2 nominations.,N/A,7
Particle Fever,2013,Documentary,99 min,4 wins & 3 nominations.,87,7.4
Mr. Peabody & Sherman,2014,"Animation, Adventure, Comedy",92 min,2 wins & 16 nominations.,59,6.9
300: Rise of an Empire,2014,"Action, Drama, Fantasy",102 min,1 win & 5 nominations.,48,6.3
The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",99 min,Won 4 Oscars. Another 117 wins & 208 nominations.,88,8.1
The Face of Love,2013,"Drama, Romance",92 min,1 nomination.,51,6.2
Bethlehem,2013,"Drama, Thriller",99 min,9 wins & 8 nominations.,68,7.2
Beyond Sight: The Derek Rabelo Story,2014,"Documentary, Adventure, Family",84 min,N/A,N/A,9
Grand Piano,2013,"Music, Mystery, Thriller",90 min,5 wins & 12 nominations.,61,5.9
Journey to the West,2013,"Action, Adventure, Comedy",110 min,1 win & 12 nominations.,68,6.8
War of the Worlds: Goliath,2012,"Animation, Action, Adventure",85 min,N/A,33,5.5
Special ID,2013,"Action, Crime, Drama",99 min,1 nomination.,47,5.5
The Only Real Game,2013,"Documentary, Sport",82 min,1 win.,69,8
Skinless,2013,Horror,80 min,N/A,N/A,5.5
Need for Speed,2014,"Action, Crime, Drama",132 min,1 win & 1 nomination.,39,6.5
,,,,,,
Bad Words,2013,"Comedy, Drama",89 min,2 wins & 4 nominations.,57,6.7
Veronica Mars,2004–2007,"Crime, Drama, Mystery",44 min,4 wins & 19 nominations.,N/A,8.4
Le Week-End,2013,"Comedy, Drama, Romance",93 min,2 wins & 10 nominations.,73,6.3
Enemy,2013,"Mystery, Thriller",91 min,15 wins & 25 nominations.,61,6.8
On My Way,2013,"Comedy, Drama",116 min,1 win & 5 nominations.,60,6.4
Better Living Through Chemistry,2014,"Comedy, Drama",91 min,N/A,40,6.3
The Art of the Steal,2013,"Comedy, Crime",90 min,5 nominations.,53,6.3
Big Men,2013,Documentary,99 min,1 win & 3 nominations.,90,7.3
The Retrieval,2013,"Drama, History, Western",92 min,9 wins & 3 nominations.,75,6.6
Shirin in Love,2014,"Comedy, Romance",104 min,N/A,29,5.2
Teenage,2013,"Documentary, History",78 min,4 nominations.,64,6.5
,,,,,,
The Word,2014,"Drama, Thriller",97 min,3 nominations.,N/A,5.2
The Right Kind of Wrong,2013,"Comedy, Romance",97 min,1 win & 1 nomination.,30,6.2
Infliction,2014,Horror,100 min,1 win.,N/A,5
The Missing Picture,2013,Documentary,92 min,Nominated for 1 Oscar. Another 8 wins & 13 nominations.,87,7.4
Divergent,2014,"Adventure, Mystery, Sci-Fi",139 min,7 wins & 10 nominations.,48,6.8
God's Not Dead,2014,Drama,113 min,N/A,16,5
Muppets Most Wanted,2014,"Adventure, Comedy, Crime",107 min,3 wins & 9 nominations.,61,6.5
50 to 1,2014,Drama,110 min,N/A,37,6.6
,,,,,,
Jodorowsky's Dune,2013,"Documentary, Biography, History",88 min,10 wins & 25 nominations.,79,8.1
Rob the Mob,2014,"Crime, Drama",104 min,N/A,63,6.3
Anita,2009,Drama,104 min,1 win & 6 nominations.,N/A,7.3
Just a Sigh,2013,"Drama, Romance",104 min,5 wins & 1 nomination.,58,6.5
Cheap Thrills,2013,"Comedy, Crime, Drama",88 min,8 wins & 7 nominations.,63,6.8
A Birder's Guide to Everything,2013,Comedy,86 min,2 wins & 1 nomination.,61,6.3
,,,,,,
It Felt Like Love,2013,Drama,82 min,2 wins & 11 nominations.,76,5.5
The French Minister,2013,Comedy,113 min,3 wins & 10 nominations.,65,6.4
Gang of Ghosts,2014,"Comedy, Drama",128 min,N/A,N/A,3.8
